Postcode area,Area covered
AB,Aberdeen
DD,Dundee
DG,Dumfries and Galloway
EH,Edinburgh
FK,Falkirk and Stirling
G,Glasgow
HS,Outer Hebrides
IV,Inverness
KA,Kilmarnock
KW,Kirkwall
KY,Kirkcaldy
ML,Motherwell
PA,Paisley
PH,Perth
TD,Galashiels
ZE,Lerwick
