uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
Wales,SA6,51.67539,-3.92084,Swansea,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA61,51.79916,-4.97345,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA62,51.84093,-5.06333,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA63,51.87409,-4.85342,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA64,52.00147,-5.01162,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA65,51.98818,-4.96848,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA66,51.88121,-4.74342,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA67,51.78165,-4.73157,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA68,51.72867,-4.76603,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA69,51.71029,-4.70555,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA7,51.6615,-3.88989,Swansea,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA70,51.67176,-4.73797,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA71,51.66716,-4.92863,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA72,51.6913,-4.93453,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA73,51.71634,-5.01146,Pembrokeshire,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA8,51.72153,-3.8475,Neath Port Talbot,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
Wales,SA9,51.78122,-3.76729,Powys,3169586,1941.854497,308.1455034,38.31417182,47.04309172,14.5513775
London,SE1,51.49838,-0.08949,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE10,51.48162,-0.00089,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE11,51.4888,-0.10862,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE12,51.4443,0.02483,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE13,51.45837,-0.0091,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE14,51.47511,-0.0415,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE15,51.47189,-0.06468,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE16,51.49597,-0.05213,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE17,51.48764,-0.09282,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
London,SE18,51.48391,0.07412,Greater London,9002488,1826.83423,423.16577,39.01442303,47.38614514,13.55164657
