uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
South East England,PO13,50.81229,-1.17808,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO14,50.83685,-1.21884,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO15,50.86203,-1.21842,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO16,50.84993,-1.15895,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO17,50.88957,-1.16819,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO18,50.86403,-0.81478,West Sussex,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO19,50.83756,-0.7771,West Sussex,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO2,50.81603,-1.07722,Portsmouth,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO20,50.78278,-0.78563,West Sussex,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO21,50.78362,-0.69622,West Sussex,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO22,50.79835,-0.64756,West Sussex,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO3,50.81589,-1.05877,Portsmouth,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO30,50.69085,-1.3133,Isle of Wight,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO31,50.75286,-1.30531,Isle of Wight,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,PO32,50.75091,-1.27982,Isle of Wight,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
